region;conditions;view;priming;weight
Русский;Аквакультура;серый;камни;85.9
Русский;Естественные;черный;камни;99.3
Русский;Аквакультура;черный;камни;119.8
Русский;Естественные;серый;камни;115.5
Русский;Аквакультура;серый;песок;88.9
Русский;Естественные;черный;песок;78.4
Русский;Аквакультура;черный;песок;42
Русский;Естественные;серый;песок;142
Русский;Аквакультура;серый;ил;139
Русский;Естественные;черный;ил;153.8
Русский;Аквакультура;черный;ил;180
Русский;Естественные;серый;ил;172.4
Алексеева;Аквакультура;черный;камни;94.9
Алексеева;Естественные;серый;камни;110.4
Алексеева;Аквакультура;серый;камни;92.8
Алексеева;Естественные;черный;камни;167.2
Алексеева;Аквакультура;черный;ил;118.3
Алексеева;Естественные;серый;ил;115.4
Алексеева;Аквакультура;серый;ил;184.9
Алексеева;Естественные;черный;ил;161.7
Алексеева;Аквакультура;черный;песок;125.7
Алексеева;Естественные;серый;песок;102.7
Алексеева;Аквакультура;серый;песок;131.2
Алексеева;Естественные;черный;песок;223.7
Попов;Аквакультура;черный;песок;127.6
Попов;Естественные;серый;песок;166.8
Попов;Аквакультура;серый;песок;158.6
Попов;Естественные;черный;песок;138.6
Попов;Аквакультура;черный;ил;153.9
Попов;Естественные;серый;ил;184.3
Попов;Аквакультура;серый;ил;114.3
Попов;Естественные;черный;ил;199.9
Попов;Аквакультура;черный;камни;184
Попов;Естественные;серый;камни;93
Попов;Аквакультура;серый;камни;96.9
Попов;Естественные;черный;камни;172.7
